latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.83781,96.74334,341.24,0.52,0.41,2026-08-31,0654,N20,nominal,2.0NRT,312.32,4.64,D
23.0966,101.16403,341.97,0.55,0.43,2026-08-31,0650,N20,nominal,2.0NRT,297.85,10.61,D
23.09686,101.16112,331.79,0.55,0.43,2026-08-31,0650,N20,nominal,2.0NRT,294.79,5.89,D
29.24173,91.86179,330.56,0.43,0.38,2026-08-31,0652,N20,nominal,2.0NRT,297.19,3.12,D
29.61658,91.05703,338.16,0.46,0.39,2026-08-31,0652,N20,nominal,2.0NRT,299.37,6.07,D
6.99862,81.59916,367,0.52,0.5,2026-08-31,0826,N20,high,2.0NRT,296.13,7.7,D
7.43756,81.69706,342.36,0.54,0.5,2026-08-31,0826,N20,nominal,2.0NRT,296.76,14.11,D
17.77075,75.83885,338.77,0.48,0.4,2026-08-31,0830,N20,nominal,2.0NRT,299.26,1.97,D
7.4991,81.03271,338.08,0.48,0.48,2026-08-31,0828,N20,nominal,2.0NRT,300.78,5.5,D
7.52465,80.89653,335.78,0.47,0.48,2026-08-31,0828,N20,nominal,2.0NRT,302.09,5.76,D
17.96539,75.48702,336.33,0.46,0.39,2026-08-31,0830,N20,nominal,2.0NRT,299.52,3.37,D
7.52504,80.89655,334.12,0.47,0.48,2026-08-31,0828,N20,nominal,2.0NRT,302.17,5.21,D
21.10255,72.63916,337.23,0.39,0.37,2026-08-31,0833,N20,nominal,2.0NRT,296.08,7.44,D
7.57079,80.9034,335.4,0.48,0.48,2026-08-31,0828,N20,nominal,2.0NRT,303.23,3.04,D
21.102,72.63538,337.48,0.39,0.37,2026-08-31,0833,N20,nominal,2.0NRT,299.47,9.17,D
21.93708,57.07782,342.66,0.69,0.74,2026-08-31,0833,N20,nominal,2.0NRT,307.42,6.32,D
7.6052,80.95647,335.52,0.48,0.48,2026-08-31,0828,N20,nominal,2.0NRT,304.23,3.1,D
22.28808,56.53252,340.06,0.73,0.76,2026-08-31,0833,N20,nominal,2.0NRT,307.64,2.93,D
7.74957,81.51717,346.03,0.53,0.5,2026-08-31,0828,N20,nominal,2.0NRT,302.95,19.14,D
22.28867,56.53329,337.12,0.73,0.76,2026-08-31,0833,N20,low,2.0NRT,307.69,4.07,D
7.72003,80.84877,331.34,0.47,0.48,2026-08-31,0828,N20,nominal,2.0NRT,300.43,3.48,D
7.71942,80.84451,336.88,0.47,0.48,2026-08-31,0828,N20,nominal,2.0NRT,303.13,3.48,D
7.72003,80.84563,347.33,0.47,0.48,2026-08-31,0828,N20,nominal,2.0NRT,303.24,6.05,D
22.28691,56.52642,338.12,0.73,0.76,2026-08-31,0833,N20,nominal,2.0NRT,307.79,4.07,D
7.85724,81.08614,333.75,0.49,0.49,2026-08-31,0828,N20,nominal,2.0NRT,302.89,1.9,D
7.73907,80.14016,333.41,0.43,0.46,2026-08-31,0828,N20,nominal,2.0NRT,297.08,3.33,D
22.32884,56.49116,346.68,0.73,0.76,2026-08-31,0833,N20,nominal,2.0NRT,307.73,7.54,D
25.59085,72.62873,332.94,0.42,0.38,2026-08-31,0833,N20,nominal,2.0NRT,297.48,2.74,D
7.74014,80.1397,332.59,0.43,0.46,2026-08-31,0828,N20,nominal,2.0NRT,296.6,2.97,D
22.87486,55.9286,337.93,0.77,0.77,2026-08-31,0833,N20,low,2.0NRT,309.25,1.09,D
7.92868,81.39046,346.49,0.52,0.5,2026-08-31,0828,N20,nominal,2.0NRT,303.2,8.32,D
26.85779,72.11017,338.83,0.41,0.37,2026-08-31,0833,N20,low,2.0NRT,311.09,4.51,D
7.94064,81.30788,356.05,0.51,0.49,2026-08-31,0828,N20,nominal,2.0NRT,305.12,23.69,D
7.94,81.30324,348.48,0.51,0.49,2026-08-31,0828,N20,nominal,2.0NRT,306.21,19.41,D
