latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.57399,101.66541,329.46,0.55,0.51,2026-08-26,0550,N21,nominal,2.0NRT,297.43,3.86,D
26.57857,101.66425,338.97,0.55,0.51,2026-08-26,0550,N21,nominal,2.0NRT,293.71,3.86,D
13.77896,100.92517,326.42,0.56,0.69,2026-08-26,0546,N21,nominal,2.0NRT,283.7,3.98,D
14.0812,100.40951,325.54,0.6,0.7,2026-08-26,0546,N21,nominal,2.0NRT,281.63,3.81,D
29.76867,72.26379,333.72,0.41,0.6,2026-08-26,0731,N21,nominal,2.0NRT,297.6,6.15,D
29.76768,72.25974,348.33,0.41,0.6,2026-08-26,0731,N21,nominal,2.0NRT,297.98,8.22,D
29.64449,71.71342,330.87,0.44,0.62,2026-08-26,0731,N21,nominal,2.0NRT,296.26,2.84,D
29.33118,70.35696,330,0.54,0.68,2026-08-26,0731,N21,nominal,2.0NRT,298.5,2.09,D
30.34867,74.23013,338.78,0.6,0.53,2026-08-26,0731,N21,nominal,2.0NRT,299.85,6.85,D
30.64766,73.95101,334.29,0.62,0.54,2026-08-26,0731,N21,nominal,2.0NRT,299.95,6.69,D
30.65028,73.94928,332.22,0.62,0.54,2026-08-26,0731,N21,nominal,2.0NRT,299.86,6.71,D
30.89061,73.20031,330.44,0.34,0.56,2026-08-26,0731,N21,low,2.0NRT,304.85,7.27,D
31.6122,72.50623,331.82,0.36,0.57,2026-08-26,0731,N21,nominal,2.0NRT,297.45,1.45,D
31.62439,72.42012,331.17,0.36,0.57,2026-08-26,0731,N21,nominal,2.0NRT,296.93,2.94,D
33.26753,71.30682,333.29,0.38,0.59,2026-08-26,0731,N21,nominal,2.0NRT,296.65,1.67,D
39.71105,78.50077,347.99,0.4,0.37,2026-08-26,0733,N21,nominal,2.0NRT,316.04,9.68,D
39.89231,79.53008,340.61,0.39,0.36,2026-08-26,0733,N21,low,2.0NRT,311.47,6.32,D
39.76025,78.62658,347.79,0.4,0.37,2026-08-26,0733,N21,nominal,2.0NRT,313.12,7.96,D
5.53966,95.76719,345.5,0.48,0.48,2026-08-26,0724,N21,nominal,2.0NRT,299.9,30.7,D
39.40381,75.89041,337.66,0.49,0.4,2026-08-26,0733,N21,low,2.0NRT,310.36,5.59,D
5.53983,95.76853,340.32,0.48,0.48,2026-08-26,0724,N21,nominal,2.0NRT,298.43,14.92,D
5.53921,95.76406,335.41,0.48,0.48,2026-08-26,0724,N21,nominal,2.0NRT,298.65,14.92,D
38.05276,67.26369,367,0.47,0.64,2026-08-26,0733,N21,high,2.0NRT,318.74,22.47,D
8.23048,80.7622,332.97,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,287.73,8.01,D
8.22948,80.75656,331.79,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,286.42,8.01,D
8.24221,80.80006,339.73,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,289.42,17.43,D
8.37619,81.05578,342.02,0.59,0.53,2026-08-26,0726,N21,nominal,2.0NRT,282.19,19.03,D
8.4115,81.06059,331.68,0.59,0.53,2026-08-26,0726,N21,nominal,2.0NRT,288.35,5.23,D
8.40953,80.51969,335.49,0.32,0.55,2026-08-26,0726,N21,nominal,2.0NRT,287.25,3.13,D
8.40903,80.51687,332.19,0.32,0.55,2026-08-26,0726,N21,nominal,2.0NRT,286.87,3.13,D
8.47969,80.36192,332.81,0.33,0.55,2026-08-26,0726,N21,nominal,2.0NRT,284.05,10.08,D
8.48021,80.36486,355.46,0.33,0.55,2026-08-26,0726,N21,low,2.0NRT,283.93,10.44,D
8.67752,80.97379,329.78,0.59,0.53,2026-08-26,0726,N21,nominal,2.0NRT,291.95,5.94,D
8.85957,80.99957,340.35,0.58,0.52,2026-08-26,0726,N21,nominal,2.0NRT,293.58,11.11,D
8.84246,80.37051,367,0.32,0.55,2026-08-26,0726,N21,high,2.0NRT,290.49,7.96,D
8.9117,80.47472,338.16,0.63,0.54,2026-08-26,0726,N21,nominal,2.0NRT,289.9,11.6,D
9.23741,80.32394,332.77,0.32,0.55,2026-08-26,0726,N21,nominal,2.0NRT,290.25,1.76,D
9.27424,80.15481,330.55,0.33,0.55,2026-08-26,0726,N21,nominal,2.0NRT,289.88,2.74,D
9.34347,80.16696,346.15,0.33,0.55,2026-08-26,0726,N21,nominal,2.0NRT,290.17,6.12,D
9.44243,80.49594,331.63,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,293.33,5.77,D
9.43175,80.37721,330.8,0.63,0.54,2026-08-26,0726,N21,nominal,2.0NRT,291.89,7.51,D
9.45706,80.49337,343.5,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,293.49,18.95,D
9.45557,80.49669,340.96,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,293.67,16.03,D
9.45457,80.4912,333.31,0.62,0.54,2026-08-26,0726,N21,nominal,2.0NRT,292.57,16.03,D
9.39075,78.88336,336.06,0.4,0.6,2026-08-26,0726,N21,nominal,2.0NRT,291.74,2.89,D
10.38894,79.17622,330.34,0.37,0.58,2026-08-26,0726,N21,nominal,2.0NRT,292.83,5,D
11.7447,79.05466,333.07,0.35,0.57,2026-08-26,0726,N21,nominal,2.0NRT,295.21,1.51,D
11.74077,78.97653,347.16,0.36,0.57,2026-08-26,0726,N21,nominal,2.0NRT,294.02,3.99,D
15.62631,79.17872,330.99,0.59,0.53,2026-08-26,0729,N21,nominal,2.0NRT,291.27,4.14,D
15.62259,79.18162,334.29,0.59,0.53,2026-08-26,0729,N21,nominal,2.0NRT,292.53,6.57,D
16.40067,79.36681,335.24,0.55,0.51,2026-08-26,0729,N21,nominal,2.0NRT,293.52,8.29,D
16.83534,79.16514,330.52,0.56,0.51,2026-08-26,0729,N21,nominal,2.0NRT,291.87,3.28,D
17.60913,83.20387,331.24,0.47,0.4,2026-08-26,0729,N21,low,2.0NRT,296.24,9.96,D
21.67331,84.0409,329.78,0.4,0.37,2026-08-26,0729,N21,low,2.0NRT,295.02,4.73,D
21.67999,84.03966,332.83,0.4,0.37,2026-08-26,0729,N21,low,2.0NRT,296.61,9.21,D
22.21023,84.86258,331.63,0.39,0.36,2026-08-26,0729,N21,nominal,2.0NRT,293.69,3.63,D
22.21468,84.8694,334.29,0.39,0.36,2026-08-26,0729,N21,nominal,2.0NRT,293.07,5.23,D
22.21391,84.84286,330.93,0.39,0.36,2026-08-26,0729,N21,nominal,2.0NRT,291.89,3.38,D
22.21333,84.83915,330.66,0.39,0.36,2026-08-26,0729,N21,nominal,2.0NRT,291.48,2.79,D
21.10038,72.63611,334.04,0.61,0.71,2026-08-26,0731,N21,nominal,2.0NRT,287.11,6.31,D
25.99178,98.46295,332.11,0.66,0.73,2026-08-26,0731,N21,nominal,2.0NRT,288.25,11.82,D
18.01457,54.5731,346.56,0.47,0.48,2026-08-26,0909,N21,low,2.0NRT,318.18,14.52,D
18.32135,55.10671,346.49,0.43,0.46,2026-08-26,0909,N21,low,2.0NRT,317.26,1.82,D
21.10633,72.64521,332.78,0.55,0.68,2026-08-26,0909,N21,nominal,2.0NRT,288.69,6.43,D
21.10424,72.64529,332.55,0.55,0.68,2026-08-26,0909,N21,nominal,2.0NRT,288.95,7.18,D
23.27795,54.25907,351.39,0.4,0.44,2026-08-26,0909,N21,low,2.0NRT,326.11,14.1,D
24.50629,56.60725,341.41,0.44,0.38,2026-08-26,0911,N21,low,2.0NRT,315.22,18.69,D
24.51049,54.0191,341.17,0.39,0.44,2026-08-26,0911,N21,nominal,2.0NRT,306.37,6.72,D
28.80681,71.14798,333.4,0.53,0.67,2026-08-26,0911,N21,nominal,2.0NRT,297.69,2.24,D
27.15941,56.10268,345.96,0.43,0.38,2026-08-26,0911,N21,low,2.0NRT,312.94,13.57,D
33.75373,59.14787,343.06,0.41,0.37,2026-08-26,0913,N21,low,2.0NRT,318.05,7.47,D
37.03253,62.41895,355.14,0.4,0.44,2026-08-26,0913,N21,nominal,2.0NRT,322.01,16.19,D
37.81702,60.65202,348.66,0.5,0.41,2026-08-26,0913,N21,low,2.0NRT,322.66,36.39,D
37.13834,55.10251,337.59,0.39,0.36,2026-08-26,0913,N21,low,2.0NRT,308.05,5.66,D
39.26064,56.2815,349.55,0.39,0.36,2026-08-26,0915,N21,nominal,2.0NRT,317.87,5.94,D
39.35632,55.74767,346.89,0.39,0.36,2026-08-26,0915,N21,low,2.0NRT,320.84,16.97,D
39.35959,55.74686,346.23,0.39,0.36,2026-08-26,0915,N21,low,2.0NRT,320.36,10.82,D
14.67437,100.80187,307.88,0.62,0.54,2026-08-26,1817,N21,nominal,2.0NRT,282.84,2.61,N
14.56818,100.76437,305.35,0.63,0.54,2026-08-26,1817,N21,nominal,2.0NRT,284.67,2.13,N
14.56684,100.76334,305.53,0.63,0.54,2026-08-26,1817,N21,nominal,2.0NRT,284.12,2.6,N
7.81544,99.80431,312.04,0.59,0.53,2026-08-26,1819,N21,nominal,2.0NRT,291.07,2.17,N
7.816,99.80264,306.57,0.59,0.53,2026-08-26,1819,N21,nominal,2.0NRT,290.86,2.36,N
6.9884,100.61983,304.04,0.5,0.49,2026-08-26,1819,N21,nominal,2.0NRT,291.21,0.74,N
26.62157,101.45345,301.31,0.4,0.6,2026-08-26,1815,N21,nominal,2.0NRT,281.77,2.1,N
35.97725,79.16998,303.84,0.32,0.55,2026-08-26,1953,N21,nominal,2.0NRT,275.15,0.88,N
31.40888,97.76285,295.31,0.33,0.55,2026-08-26,1953,N21,nominal,2.0NRT,277.85,0.78,N
31.40834,97.76369,297.27,0.33,0.55,2026-08-26,1953,N21,nominal,2.0NRT,278.13,0.68,N
